Course,Name,Prerequisite Courses,Prerequisite Credits,SU Credits,ECTS Credits,Type,Information System URL,Sabancı Website URL,Corequisite Courses,Faculty,General Requirements ,,,,,,,,,,
ACC 201,Introduction to Financial Accounting and Reporting,__,,3,6,"Free Elective, Faculty Course",Information System,Sabancı University,ACC 201R,SBS,,,,,,,,,,,
ACC 301,Managerial Accounting,ACC 201 or MGMT 202,,3,6,Free Elective,Information System,Sabancı University,ACC 301R,SBS,,,,,,,,,,,
ACC 401,Intermediate Financial Accounting and Reporting,ACC 201,,3,6,Free Elective,Information System,Sabancı University,__,SBS,,,,,,,,,,,
ACC 402,Advanced Issues in Financial Accounting,ACC 401,,3,6,Free Elective,Information System,Sabancı University,__,SBS,,,,,,,,,,,
ACC 403,Auditing,ACC 201,,3,6,Free Elective,Information System,Sabancı University,__,SBS,,,,,,,,,,,
ACC 404,International Accounting,ACC 201,,3,6,Free Elective,Information System,Sabancı University,__,SBS,,,,,,,,,,,
ACC 405,Financial Statement Analysis,FIN 301,,3,6,Free Elective,Information System,Sabancı University,__,SBS,,,,,,,,,,,
ACC 406,Intermediate Managerial Accounting,ACC 301,,3,6,Free Elective,Information System,Sabancı University,__,SBS,,,,,,,,,,,
ACC 450,Selected Topics in Accounting I,ACC 201,,3,6,Free Elective,Information System,Sabancı University,__,SBS,,,,,,,,,,,
ACC 451,Selected Topics in Accounting II,ACC 201,,3,6,Free Elective,Information System,Sabancı University,__,SBS,,,,,,,,,,,
AL 102,Academic Literacies,__,,3,5,University Courses,Information System,Sabancı University,__,SL,,,,,,,,,,,
ANTH 214,Anthropology as Cultural Critique,__,,3,6,"Free Elective, Faculty Course",Information System,Sabancı University,__,FASS,,,,,,,,,,,
ANTH 251,Anthropology of the Global City,__,,3,6,Free Elective,Information System,Sabancı University,__,FASS,,,,,,,,,,,
ANTH 255,"Local Cultures, Global Forces",__,,3,6,"Free Elective, Faculty Course",Information System,Sabancı University,__,FASS,,,,,,,,,,,
ANTH 320,Material Culture,__,,3,6,Free Elective,Information System,Sabancı University,__,FASS,,,,,,,,,,,
ANTH 321,Anthropology of Migration and the City,__,,3,6,Free Elective,Information System,Sabancı University,__,FASS,,,,,,,,,,,
ANTH 326,Anthropology of the Body,__,,3,6,Free Elective,Information System,Sabancı University,__,FASS,,,,,,,,,,,
ANTH 340,Anthropology of Gender and Sexuality,__,,3,6,Free Elective,Information System,Sabancı University,__,FASS,,,,,,,,,,,
ANTH 350,Anthropology of Development Social Change and Social Justice,__,,3,6,Free Elective,Information System,Sabancı University,__,FASS,,,,,,,,,,,
ANTH 354,Migration and Citizenship,__,,3,6,Free Elective,Information System,Sabancı University,__,FASS,,,,,,,,,,,
ANTH 413,Etnographic Approaches to Law and Conflict,SOC 201,,3,6,Free Elective,Information System,Sabancı University,__,FASS,,,,,,,,,,,
ANTH 415,Anthropology of the State,__,,3,6,Free Elective,Information System,Sabancı University,__,FASS,,,,,,,,,,,
ANTH 425,Anthropology of Affect,__,,3,6,Free Elective,Information System,Sabancı University,__,FASS,,,,,,,,,,,
ANTH 428,Anthropology of Hope,__,,3,6,Free Elective,Information System,Sabancı University,__,FASS,,,,,,,,,,,
ANTH 450,Anthropology of the Middle East and North Africa (MENA),CULT 201 or SOC 201,,3,6,Free Elective,Information System,Sabancı University,__,FASS,,,,,,,,,,,
ANTH 465,"Social Mobilization, Resistance and Protest",__,,3,6,Free Elective,Information System,Sabancı University,__,FASS,,,,,,,,,,,
ANTH 468,Ethnography: Fieldwork and Writing in Antropology,__,,3,6,Free Elective,Information System,Sabancı University,__,FASS,,,,,,,,,,,
ANTH 469,Anthropology and History,__,,3,6,Free Elective,Information System,Sabancı University,__,FASS,,,,,,,,,,,
ANTH 471,Anthropology of Europe,__,,3,6,Free Elective,Information System,Sabancı University,__,FASS,,,,,,,,,,,
BIO 301,Introduction to Molecular Biology,BIO 321,,4,7,Free Elective,Information System,Sabancı University,BIO 301L,FENS,,,,,,,,,,,
BIO 303,Genetics,NS 201,,4,7,Free Elective,Information System,Sabancı University,BIO 303L,FENS,,,,,,,,,,,
BIO 304,Biological Function and Structure,__,,3,6,Free Elective,Information System,Sabancı University,__,FENS,,,,,,,,,,,
